Ion = Chlorine    , Mass = 34.969
Tgt =  H (Solid), Density = .07 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
2.527E+04   1.724E+02  3.168E-01 
2.527E+04   1.724E+02  3.168E-01 
2.527E+04   1.724E+02  3.168E-01 
2.527E+04   1.724E+02  3.168E-01 
2.528E+04   1.724E+02  3.168E-01 
2.528E+04   1.724E+02  3.168E-01 
2.528E+04   1.724E+02  3.168E-01 
2.528E+04   1.724E+02  3.168E-01 
2.528E+04   1.724E+02  3.167E-01 
2.528E+04   1.724E+02  3.167E-01 
2.528E+04   1.724E+02  3.167E-01 
2.529E+04   1.724E+02  3.167E-01 
2.529E+04   1.724E+02  3.167E-01 
2.529E+04   1.724E+02  3.167E-01 
2.529E+04   1.724E+02  3.167E-01 
2.529E+04   1.724E+02  3.166E-01 
2.529E+04   1.724E+02  3.166E-01 
2.529E+04   1.724E+02  3.166E-01 
2.529E+04   1.724E+02  3.166E-01 
2.530E+04   1.724E+02  3.166E-01 
2.530E+04   1.724E+02  3.166E-01 
2.530E+04   1.724E+02  3.166E-01 
2.530E+04   1.724E+02  3.165E-01 
2.530E+04   1.724E+02  3.165E-01 
2.530E+04   1.724E+02  3.165E-01 
2.530E+04   1.724E+02  3.165E-01 
2.530E+04   1.724E+02  3.165E-01 
2.531E+04   1.724E+02  3.165E-01 
2.531E+04   1.724E+02  3.165E-01 
2.531E+04   1.724E+02  3.165E-01 
2.531E+04   1.724E+02  3.164E-01 
2.531E+04   1.724E+02  3.164E-01 
2.531E+04   1.724E+02  3.164E-01 
2.531E+04   1.724E+02  3.164E-01 
2.532E+04   1.724E+02  3.164E-01 
2.532E+04   1.724E+02  3.164E-01 
2.532E+04   1.724E+02  3.164E-01 
2.532E+04   1.724E+02  3.163E-01 
2.532E+04   1.724E+02  3.163E-01 
2.532E+04   1.724E+02  3.163E-01 
2.532E+04   1.724E+02  3.163E-01 
2.532E+04   1.724E+02  3.163E-01 
2.533E+04   1.724E+02  3.163E-01 
2.533E+04   1.724E+02  3.163E-01 
2.533E+04   1.724E+02  3.162E-01 
2.533E+04   1.724E+02  3.162E-01 
2.533E+04   1.724E+02  3.162E-01 
2.533E+04   1.724E+02  3.162E-01 
2.533E+04   1.724E+02  3.162E-01 
2.533E+04   1.724E+02  3.162E-01 
2.534E+04   1.724E+02  3.162E-01 
2.534E+04   1.724E+02  3.161E-01 
2.534E+04   1.724E+02  3.161E-01 
2.534E+04   1.724E+02  3.161E-01 
2.534E+04   1.724E+02  3.161E-01 
2.534E+04   1.724E+02  3.161E-01 
2.534E+04   1.724E+02  3.161E-01 
2.535E+04   1.724E+02  3.161E-01 
2.535E+04   1.724E+02  3.161E-01 
2.535E+04   1.724E+02  3.160E-01 
2.535E+04   1.724E+02  3.160E-01 
2.535E+04   1.724E+02  3.160E-01 
2.535E+04   1.724E+02  3.160E-01 
2.535E+04   1.724E+02  3.160E-01 
2.535E+04   1.724E+02  3.160E-01 
2.536E+04   1.724E+02  3.160E-01 
2.536E+04   1.724E+02  3.159E-01 
2.536E+04   1.724E+02  3.159E-01 
2.536E+04   1.724E+02  3.159E-01 
2.536E+04   1.724E+02  3.159E-01 
2.536E+04   1.724E+02  3.159E-01 
2.536E+04   1.724E+02  3.159E-01 
2.537E+04   1.724E+02  3.159E-01 
2.537E+04   1.724E+02  3.158E-01 
2.537E+04   1.724E+02  3.158E-01 
2.537E+04   1.724E+02  3.158E-01 
2.537E+04   1.724E+02  3.158E-01 
2.537E+04   1.724E+02  3.158E-01 
2.537E+04   1.724E+02  3.158E-01 
2.537E+04   1.724E+02  3.158E-01 
2.538E+04   1.724E+02  3.158E-01 
2.538E+04   1.724E+02  3.157E-01 
2.538E+04   1.724E+02  3.157E-01 
2.538E+04   1.724E+02  3.157E-01 
2.538E+04   1.724E+02  3.157E-01 
2.538E+04   1.724E+02  3.157E-01 
2.538E+04   1.724E+02  3.157E-01 
2.538E+04   1.724E+02  3.157E-01 
2.539E+04   1.724E+02  3.156E-01 
2.539E+04   1.724E+02  3.156E-01 
2.539E+04   1.724E+02  3.156E-01 
2.539E+04   1.724E+02  3.156E-01 
2.539E+04   1.724E+02  3.156E-01 
2.539E+04   1.724E+02  3.156E-01 
2.539E+04   1.724E+02  3.156E-01 
2.540E+04   1.724E+02  3.155E-01 
2.540E+04   1.724E+02  3.155E-01 
2.540E+04   1.724E+02  3.155E-01 
2.540E+04   1.724E+02  3.155E-01 
2.540E+04   1.724E+02  3.155E-01 
2.540E+04   1.724E+02  3.155E-01 
2.540E+04   1.724E+02  3.155E-01 
2.540E+04   1.724E+02  3.155E-01 
2.541E+04   1.724E+02  3.154E-01 
2.541E+04   1.724E+02  3.154E-01 
2.541E+04   1.724E+02  3.154E-01 
2.541E+04   1.724E+02  3.154E-01 
2.541E+04   1.724E+02  3.154E-01 
2.541E+04   1.724E+02  3.154E-01 
2.541E+04   1.724E+02  3.154E-01 
2.541E+04   1.724E+02  3.153E-01 
2.542E+04   1.724E+02  3.153E-01 
2.542E+04   1.724E+02  3.153E-01 
2.542E+04   1.724E+02  3.153E-01 
2.542E+04   1.724E+02  3.153E-01 
2.542E+04   1.724E+02  3.153E-01 
2.542E+04   1.724E+02  3.153E-01 
2.542E+04   1.724E+02  3.152E-01 
2.543E+04   1.724E+02  3.152E-01 
2.543E+04   1.724E+02  3.152E-01 
2.543E+04   1.724E+02  3.152E-01 
2.543E+04   1.724E+02  3.152E-01 
2.543E+04   1.724E+02  3.152E-01 
2.543E+04   1.724E+02  3.152E-01 
2.543E+04   1.724E+02  3.152E-01 
2.543E+04   1.724E+02  3.151E-01 
2.544E+04   1.724E+02  3.151E-01 
2.544E+04   1.724E+02  3.151E-01 
2.544E+04   1.724E+02  3.151E-01 
2.544E+04   1.724E+02  3.151E-01 
2.544E+04   1.724E+02  3.151E-01 
2.544E+04   1.724E+02  3.151E-01 
2.544E+04   1.724E+02  3.150E-01 
2.545E+04   1.724E+02  3.150E-01 
2.545E+04   1.724E+02  3.150E-01 
2.545E+04   1.724E+02  3.150E-01 
2.545E+04   1.724E+02  3.150E-01 
2.545E+04   1.724E+02  3.150E-01 
2.545E+04   1.724E+02  3.150E-01 
2.545E+04   1.724E+02  3.149E-01 
2.545E+04   1.724E+02  3.149E-01 
2.546E+04   1.724E+02  3.149E-01 
2.546E+04   1.723E+02  3.149E-01 
2.546E+04   1.723E+02  3.149E-01 
2.546E+04   1.723E+02  3.149E-01 
2.546E+04   1.723E+02  3.149E-01 
2.546E+04   1.723E+02  3.149E-01 
2.546E+04   1.723E+02  3.148E-01 
2.546E+04   1.723E+02  3.148E-01 
2.547E+04   1.723E+02  3.148E-01 
2.547E+04   1.723E+02  3.148E-01 
2.547E+04   1.723E+02  3.148E-01 
2.547E+04   1.723E+02  3.148E-01 
2.547E+04   1.723E+02  3.148E-01 
2.547E+04   1.723E+02  3.147E-01 
