NDF v10.0b 16Jan21 rev 16Jan21 run 08/08/2023 15:04:49 Filename: idff0102.datbatch idf_example3.spc
str idf_example3.str
file idf_example32.dat
geo idf_example32.geo
 channel data fit
  371  0.24999E+04  0.24285E+04
  372  0.24949E+04  0.24273E+04
  373  0.24884E+04  0.24262E+04
  374  0.24806E+04  0.24251E+04
  375  0.24721E+04  0.24239E+04
  376  0.24631E+04  0.24228E+04
  377  0.24543E+04  0.24216E+04
  378  0.24461E+04  0.24205E+04
  379  0.24389E+04  0.24193E+04
  380  0.24329E+04  0.24181E+04
  381  0.24283E+04  0.24169E+04
  382  0.24253E+04  0.24157E+04
  383  0.24242E+04  0.24145E+04
  384  0.24252E+04  0.24133E+04
  385  0.24288E+04  0.24121E+04
  386  0.24348E+04  0.24109E+04
  387  0.24430E+04  0.24098E+04
  388  0.24526E+04  0.24086E+04
  389  0.24623E+04  0.24075E+04
  390  0.24711E+04  0.24063E+04
  391  0.24775E+04  0.24052E+04
  392  0.24806E+04  0.24041E+04
  393  0.24802E+04  0.24029E+04
  394  0.24764E+04  0.24018E+04
  395  0.24702E+04  0.24007E+04
  396  0.24628E+04  0.23996E+04
  397  0.24559E+04  0.23984E+04
  398  0.24510E+04  0.23973E+04
  399  0.24491E+04  0.23961E+04
  400  0.24500E+04  0.23950E+04
  401  0.24529E+04  0.23938E+04
  402  0.24555E+04  0.23927E+04
  403  0.24548E+04  0.23916E+04
  404  0.24479E+04  0.23904E+04
  405  0.24320E+04  0.23893E+04
  406  0.24057E+04  0.23882E+04
  407  0.23723E+04  0.23871E+04
  408  0.23482E+04  0.23860E+04
  409  0.23489E+04  0.23849E+04
  410  0.23734E+04  0.23838E+04
  411  0.24038E+04  0.23826E+04
  412  0.24191E+04  0.23814E+04
  413  0.24068E+04  0.23801E+04
  414  0.23663E+04  0.23784E+04
  415  0.23075E+04  0.23761E+04
  416  0.22489E+04  0.23727E+04
  417  0.22051E+04  0.23675E+04
  418  0.21744E+04  0.23594E+04
  419  0.21404E+04  0.23470E+04
  420  0.20910E+04  0.23282E+04
  421  0.20298E+04  0.23009E+04
  422  0.19679E+04  0.22627E+04
  423  0.19089E+04  0.22114E+04
  424  0.18408E+04  0.21453E+04
  425  0.17524E+04  0.20640E+04
  426  0.16604E+04  0.19682E+04
  427  0.15919E+04  0.18602E+04
  428  0.15402E+04  0.17441E+04
  429  0.14803E+04  0.16245E+04
  430  0.14118E+04  0.15070E+04
  431  0.13485E+04  0.13965E+04
  432  0.12920E+04  0.12972E+04
  433  0.12396E+04  0.12119E+04
  434  0.11926E+04  0.11417E+04
  435  0.11545E+04  0.10865E+04
  436  0.11241E+04  0.10448E+04
  437  0.10962E+04  0.10143E+04
  438  0.10677E+04  0.99263E+03
  439  0.10378E+04  0.97714E+03
  440  0.10065E+04  0.96550E+03
  441  0.97335E+03  0.95561E+03
  442  0.93727E+03  0.94564E+03
  443  0.89680E+03  0.93391E+03
  444  0.85117E+03  0.91886E+03
  445  0.80104E+03  0.89896E+03
  446  0.74830E+03  0.87278E+03
  447  0.69558E+03  0.83913E+03
  448  0.64574E+03  0.79719E+03
  449  0.60026E+03  0.74684E+03
  450  0.55648E+03  0.68875E+03
  451  0.51153E+03  0.62455E+03
  452  0.46251E+03  0.55667E+03
  453  0.40739E+03  0.48811E+03
  454  0.34949E+03  0.42201E+03
  455  0.29628E+03  0.36121E+03
  456  0.25326E+03  0.30785E+03
  457  0.22166E+03  0.26313E+03
  458  0.19941E+03  0.22729E+03
  459  0.18254E+03  0.19975E+03
  460  0.16750E+03  0.17936E+03
  461  0.15298E+03  0.16468E+03
  462  0.13938E+03  0.15429E+03
  463  0.12699E+03  0.14696E+03
  464  0.11596E+03  0.14170E+03
  465  0.10631E+03  0.13785E+03
  466  0.98026E+02  0.13494E+03
  467  0.91029E+02  0.13271E+03
  468  0.85224E+02  0.13099E+03
  469  0.80508E+02  0.12968E+03
  470  0.76763E+02  0.12869E+03
  471  0.73856E+02  0.12795E+03
  472  0.71630E+02  0.12740E+03
  473  0.69917E+02  0.12697E+03
  474  0.68550E+02  0.12663E+03
  475  0.67393E+02  0.12630E+03
  476  0.66357E+02  0.12594E+03
  477  0.65409E+02  0.12543E+03
  478  0.64564E+02  0.12464E+03
  479  0.63869E+02  0.12333E+03
  480  0.63370E+02  0.12121E+03
  481  0.63094E+02  0.11788E+03
  482  0.63026E+02  0.11298E+03
  483  0.63106E+02  0.10621E+03
  484  0.63232E+02  0.97442E+02
  485  0.63275E+02  0.86871E+02
  486  0.63097E+02  0.74988E+02
  487  0.62577E+02  0.62544E+02
  488  0.61635E+02  0.50409E+02
  489  0.60255E+02  0.39387E+02
  490  0.58497E+02  0.30065E+02
  491  0.56493E+02  0.22720E+02
  492  0.54421E+02  0.17326E+02
  493  0.52477E+02  0.13631E+02
  494  0.50827E+02  0.11265E+02
  495  0.49579E+02  0.98428E+01
  496  0.48763E+02  0.90342E+01
  497  0.48334E+02  0.85914E+01
  498  0.48189E+02  0.83493E+01
  499  0.48199E+02  0.82087E+01
  500  0.48235E+02  0.81154E+01
  501  0.48203E+02  0.80423E+01
  502  0.48052E+02  0.79769E+01
  503  0.47781E+02  0.79138E+01
  504  0.47419E+02  0.78510E+01
  505  0.47014E+02  0.77877E+01
  506  0.46610E+02  0.77237E+01
  507  0.46239E+02  0.76591E+01
  508  0.45926E+02  0.75939E+01
  509  0.45682E+02  0.75284E+01
  510  0.45512E+02  0.74628E+01
  511  0.45411E+02  0.73973E+01
  512  0.45362E+02  0.73321E+01
  513  0.45339E+02  0.72677E+01
  514  0.45315E+02  0.72041E+01
  515  0.45270E+02  0.71418E+01
  516  0.45202E+02  0.70808E+01
  517  0.45132E+02  0.70214E+01
  518  0.45099E+02  0.69638E+01
  519  0.45146E+02  0.69081E+01
  520  0.45301E+02  0.68545E+01
  521  0.45558E+02  0.68028E+01
  522  0.45875E+02  0.67532E+01
  523  0.46181E+02  0.67057E+01
  524  0.46393E+02  0.66602E+01
  525  0.46446E+02  0.66166E+01
  526  0.46307E+02  0.65748E+01
  527  0.45988E+02  0.65347E+01
